name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
intel atom x6413e,1.50,3.00,4.0,4.0,,,,,9.00,3903,1509,4 x 32 kb,4 x 32 kb,1 x 1536 kb,4 mb,,,,12954.0,7750.0,12.0,7190.0,3035.0,51064.0,268.0,1554.0,1509
intel pentium gold g6400e,3.80,,2.0,4.0,,,,,58.00,3908,2384,2 x 32 kb,2 x 32 kb,2 x 256 kb,0 mb,,,,13654.0,8562.0,14.0,7890.0,1434.0,59598.0,295.0,1725.0,2384
arm kunpeng-920 8 core,2.60,,8.0,8.0,,,,,,3910,735,,,,,,,,30955.0,10564.0,52.0,17250.0,,32370.0,506.0,3677.0,735
qti sm7125,2.30,,8.0,8.0,,,,,,3916,1580,,,,,,,,20985.0,6399.0,8.0,11122.0,3304.0,61867.0,180.0,1423.0,1580
qualcomm sm7250,2.40,,8.0,8.0,,,,,,3929,1586,,,,,,,,20942.0,6306.0,10.0,10900.0,3308.0,59941.0,199.0,1341.0,1586
mediatek mt8789v/ct,2.10,,8.0,8.0,,,,,,3946,1477,,,,,,,,22796.0,7193.0,10.0,12101.0,3553.0,48023.0,191.0,1329.0,1477
qti sm4375,2.00,,8.0,8.0,,,,,,3948,1778,,,,,,,,21771.0,7476.0,10.0,11989.0,2164.0,58137.0,204.0,1482.0,1778
samsung exynos 9820,2.70,,8.0,8.0,,,,,,3953,1662,,,,,,,,22261.0,9045.0,23.0,9921.0,1952.0,65568.0,311.0,1475.0,1662
hisilicon kirin 990,2.90,,4.0,4.0,2.00,,4.0,4.0,,3965,1658,,,,,,,,28379.0,10179.0,15.0,10789.0,1136.0,82040.0,352.0,2223.0,1658
intel core i5 7260u,2.20,3.40,2.0,4.0,,,,,15.00,3966,1979,2 x 32 kb,2 x 32 kb,2 x 256 kb,4 mb,,,,11532.0,7161.0,20.0,6634.0,1280.0,50888.0,426.0,3366.0,1979
