CHECKING RESULT OF CPU:

--------------------------------------------------
Checking number of records in JSON file and database
Number of records in JSON file: 2406
Number of records in database: 2348

Number of records in JSON file and database do not match
--------------------------------------------------

--------------------------------------------------
Checking if all records in JSON file are in database
Checking record 1078: Matched
Checking record 1079: Matched
Checking record 1080: Matched
Checking record 1081: Matched
Checking record 1082: Matched
Checking record 1083: Matched
Checking record 1084: Matched
Checking record 1085: Matched
Checking record 1086: Matched
Checking record 1087: Matched
Checking record 1088: Matched
Checking record 1089: Unmatched
Checking record 1090: Matched
Checking record 1091: Matched
Checking record 1092: Matched
Checking record 1093: Matched
Checking record 1094: Matched
Checking record 1095: Matched
Checking record 1096: Matched
Checking record 1097: Matched
Checking record 1098: Matched
Checking record 1099: Matched
Checking record 1100: Matched
Checking record 1101: Matched
Checking record 1102: Matched
Checking record 1103: Matched
Checking record 1104: Matched
Checking record 1105: Unmatched
Checking record 1106: Matched
Checking record 1107: Matched
Checking record 1108: Matched
Checking record 1109: Matched
Checking record 1110: Matched
Checking record 1111: Matched
Checking record 1112: Matched
Checking record 1113: Matched
Checking record 1114: Matched
Checking record 1115: Matched
Checking record 1116: Matched
Checking record 1117: Matched
Checking record 1118: Matched
Checking record 1119: Matched
Checking record 1120: Matched
Checking record 1121: Matched
Checking record 1122: Matched
Checking record 1123: Matched
Checking record 1124: Matched
Checking record 1125: Unmatched
Checking record 1126: Matched
Checking record 1127: Matched
Checking record 1128: Matched
Checking record 1129: Matched
Checking record 1130: Matched
Checking record 1131: Matched
Checking record 1132: Matched
Checking record 1133: Matched
Checking record 1134: Matched
Checking record 1135: Matched
Checking record 1136: Matched
Checking record 1137: Unmatched
Checking record 1138: Matched
Checking record 1139: Matched
Checking record 1140: Matched
Checking record 1141: Matched
Checking record 1142: Matched
Checking record 1143: Matched
Checking record 1144: Matched
Checking record 1145: Matched
Checking record 1146: Matched
Checking record 1147: Matched
Checking record 1148: Unmatched
Checking record 1149: Matched
Checking record 1150: Matched
Checking record 1151: Matched
Checking record 1152: Matched
Checking record 1153: Matched
Checking record 1154: Matched
Checking record 1155: Matched
Checking record 1156: Matched
Checking record 1157: Matched
Checking record 1158: Matched
Checking record 1159: Matched
Checking record 1160: Matched
Checking record 1161: Matched
Checking record 1162: Matched
Checking record 1163: Matched
Checking record 1164: Matched
Checking record 1165: Matched
Checking record 1166: Matched
Checking record 1167: Matched
Checking record 1168: Matched
Checking record 1169: Unmatched
Checking record 1170: Matched
Checking record 1171: Matched
Checking record 1172: Matched
